position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
362,1,362,13933,,"Санкт-Петербург г, Ветеранов пр-кт, 183",164.4,59 184 000,189 000,У нас дешевле на 58 995 000 (99.7%),-58 995 000,-99.7%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-ulybka-radugi-1644-m2-v-novom-tc-1"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15109"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 109 м² 189 000 =HYPERLINK(""https://app.worldcafe.ru/object/15109"",""ссылка"")"
363,1,363,13911,,"Ленинградская обл, Яльгелево д, Южная ул, 1",1335,110 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-torgovyx-ploshhadei-s-zemelnym-ucastkom"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
364,1,364,13908,,"Санкт-Петербург г, Ветеранов пр-кт, 183",47,25 380 000,189 000,У нас дешевле на 25 191 000 (99.3%),-25 191 000,-99.3%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-marmelad"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15109"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 109 м² 189 000 =HYPERLINK(""https://app.worldcafe.ru/object/15109"",""ссылка"")"
365,1,365,13865,,"Санкт-Петербург г, Большая Разночинная ул, 32 Л",4560,835 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/osz-v-petrogradskom-raione-4560m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
366,1,366,13844,,"Санкт-Петербург г, Обводного канала наб, 118а У",1003,300 900 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-ofisa-v-novom-loft-prostranstve-1003-m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
367,1,367,13812,,"Ленинградская обл, Промышленная зона Пески тер, Технологическая ул, 8",2193,145 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-skladskogo-pomeshheniia-promzona-peski-1"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
368,1,368,13782,,"Ленинградская обл, Пески д, -, -",1082,75 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-skladskogo-pomeshheniia-promzona-peski"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
369,1,369,13769,,"Новгородская обл, Старая Русса г, Дзержинского ул, 6",104,5 990 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/osz-gab-s-okupaemostiu-5-let"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
370,1,370,13737,,"Санкт-Петербург г, 8-я Советская ул, 16/25 А",32,16 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-gab-cito-gvrito-arenduet-11-let"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
371,1,371,13720,,"Санкт-Петербург г, Загородный пр-кт, 1",336,225 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-setevym-arendatorom-u-metro"",""ссылка"")",,"По адресу есть, но площадь другая",1,"Без сделки no_deal 187.2 м² =HYPERLINK(""https://app.worldcafe.ru/object/15528"",""ссылка"")"
372,1,372,13599,,"Санкт-Петербург г, 8-я Красноармейская ул, 20а А",167.5,23 000 000,0,У нас дешевле на 23 000 000 (100.0%),-23 000 000,-100.0%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-gab-v-centre-goroda-165-km-1"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11234"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 19770 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/11234"",""ссылка"")"
373,1,373,13510,,"Санкт-Петербург г, Стачек пр-кт, 75",34.3,30 000 000,26 000 000,У нас дешевле на 4 000 000 (13.3%),-4 000 000,-13.3%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-produkty"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19865"",""ссылка"")",Совпало,1,"Архив sale 34.3 м² 26 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19865"",""ссылка"")"
374,1,374,13509,,"Санкт-Петербург г, Стачек пр-кт, 75",133.5,55 000 000,39 000 000,У нас дешевле на 16 000 000 (29.1%),-16 000 000,-29.1%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-aptekoi-stolicki"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15710"",""ссылка"")",Совпало,3,"На сайте sale 133.5 м² 57 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19882"",""ссылка"") | Архив rent 130.5 м² 300 000 =HYPERLINK(""https://app.worldcafe.ru/object/15710"",""ссылка"") | На сайте sale 130.5 м² 39 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/15710"",""ссылка"")"
375,1,375,13500,,"Ленинградская обл, Мурино г, Шувалова ул, 1",180,83 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-scastlivyi-vzgliad"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
